cluster,term,in_cluster,corpus_docfreq,cluster_size,expected,p,is_bigram,q
6,lead grand,28,29,465,1.763,1.1216801505979733e-33,1,1.9389717298020964e-30
6,british,20,22,465,1.338,6.668130120172779e-23,0,8.111409839516843e-20
6,british grand,20,22,465,1.338,6.668130120172779e-23,1,8.111409839516843e-20
6,win,42,148,465,9.0,5.783933235187658e-18,0,5.756591005348589e-15
6,place grand,15,16,465,0.973,7.009989534600305e-18,1,6.924393872914659e-15
6,dutch,12,12,465,0.73,2.2342729894910666e-15,0,1.8816015914575536e-12
6,dutch grand,12,12,465,0.73,2.2342729894910666e-15,1,1.8816015914575536e-12
6,prix victory,11,11,465,0.669,3.7579093717519356e-14,1,2.9041123624898947e-11
6,lead,57,325,465,19.763,1.28737644710439e-13,0,9.448623917027171e-11
6,prix underway,17,32,465,1.946,3.869486699735847e-13,1,2.704030237577109e-10
6,australian,11,12,465,0.73,4.263721217258307e-13,0,2.8873744259717905e-10
6,australian grand,11,12,465,0.73,4.263721217258307e-13,1,2.8873744259717905e-10
6,saudi,11,12,465,0.73,4.263721217258307e-13,0,2.8873744259717905e-10
6,win grand,10,10,465,0.608,6.307506345509786e-13,1,4.227831396161703e-10
6,belgian,11,13,465,0.791,2.6204174923566218e-12,0,1.6630916351490024e-09
6,belgian grand,11,13,465,0.791,2.6204174923566218e-12,1,1.6630916351490024e-09
6,italian,11,13,465,0.791,2.6204174923566218e-12,0,1.6630916351490024e-09
6,italian grand,11,13,465,0.791,2.6204174923566218e-12,1,1.6630916351490024e-09
6,lap grand,9,9,465,0.547,1.0565073128728895e-11,1,6.1688757660439445e-09
6,victory,25,85,465,5.169,1.514828236012094e-11,0,8.65269888410108e-09
6,grands,10,12,465,0.73,3.724293564868429e-11,0,2.0302190513616374e-08
6,grands prix,10,12,465,0.73,3.724293564868429e-11,1,2.0302190513616374e-08
6,underway,18,47,465,2.858,8.247388417229175e-11,0,4.232456643366798e-08
6,winner,17,43,465,2.615,1.5394087056635463e-10,0,7.689785479667454e-08
6,arabian,8,8,465,0.486,1.7660086133557995e-10,0,8.624949724469573e-08
6,arabian grand,8,8,465,0.486,1.7660086133557995e-10,1,8.624949724469573e-08
6,prix winner,8,8,465,0.486,1.7660086133557995e-10,1,8.624949724469573e-08
6,saudi arabian,8,8,465,0.486,1.7660086133557995e-10,1,8.624949724469573e-08
6,takes,33,158,465,9.608,2.3000458116817436e-10,0,1.0988029765654573e-07
6,victories,11,17,465,1.034,3.3235480045178276e-10,0,1.5762976268647446e-07
6,prix win,8,9,465,0.547,1.5048871669903879e-09,1,6.67925866386923e-07
6,canadian,8,10,465,0.608,7.124539932646618e-09,0,2.941968529710007e-06
6,canadian grand,8,10,465,0.608,7.124539932646618e-09,1,2.941968529710007e-06
6,takes lead,14,36,465,2.189,8.571824848250664e-09,1,3.508199567799935e-06
6,azerbaijan,7,8,465,0.486,2.2331140356744057e-08,0,8.603448373922602e-06
6,azerbaijan grand,7,8,465,0.486,2.2331140356744057e-08,1,8.603448373922602e-06
6,austrian,8,11,465,0.669,2.473577770376605e-08,0,9.419384149594112e-06
6,austrian grand,8,11,465,0.669,2.473577770376605e-08,1,9.419384149594112e-06
6,start grand,8,11,465,0.669,2.473577770376605e-08,1,9.419384149594112e-06
6,formula grand,6,6,465,0.365,4.9040875200473156e-08,1,1.7847074848579944e-05
6,started grand,6,6,465,0.365,4.9040875200473156e-08,1,1.7847074848579944e-05
6,hungarian,7,9,465,0.547,9.52230265208819e-08,0,3.278924365381073e-05
6,hungarian grand,7,9,465,0.547,9.52230265208819e-08,1,3.278924365381073e-05
6,japanese,7,9,465,0.547,9.52230265208819e-08,0,3.278924365381073e-05
6,japanese grand,7,9,465,0.547,9.52230265208819e-08,1,3.278924365381073e-05
6,spanish,8,13,465,0.791,1.730050384991892e-07,0,5.739573216633707e-05
6,spanish grand,8,13,465,0.791,1.730050384991892e-07,1,5.739573216633707e-05
6,row,14,46,465,2.797,3.079249867467681e-07,0,9.67797920068024e-05
6,prix going,6,7,465,0.426,3.256106166137423e-07,1,0.0001020940820244
6,prix year,7,11,465,0.669,7.83874334225344e-07,1,0.0002288494989626
6,leads grand,5,5,465,0.304,8.14718191917426e-07,1,0.0002362790666254
6,prix comes,5,5,465,0.304,8.14718191917426e-07,1,0.0002362790666254
6,end grand,6,9,465,0.547,3.515901083112447e-06,1,0.0009201295232967
6,abu,5,6,465,0.365,4.64310477550219e-06,0,0.0011552888882317
6,abu dhabi,5,6,465,0.365,4.64310477550219e-06,1,0.0011552888882317
6,dhabi,5,6,465,0.365,4.64310477550219e-06,0,0.0011552888882317
6,dhabi grand,5,6,465,0.365,4.64310477550219e-06,1,0.0011552888882317
6,prix second,5,6,465,0.365,4.64310477550219e-06,1,0.0011552888882317
6,prix victories,5,6,465,0.365,4.64310477550219e-06,1,0.0011552888882317
6,time wins,5,6,465,0.365,4.64310477550219e-06,1,0.0011552888882317
6,year,20,107,465,6.506,5.392685851444166e-06,0,0.0013168578000359
6,emilia,4,4,465,0.243,1.350735605385008e-05,0,0.002937984120746
6,emilia romagna,4,4,465,0.243,1.350735605385008e-05,1,0.002937984120746
6,lead british,4,4,465,0.243,1.350735605385008e-05,1,0.002937984120746
6,line wins,4,4,465,0.243,1.350735605385008e-05,1,0.002937984120746
6,position grand,4,4,465,0.243,1.350735605385008e-05,1,0.002937984120746
6,prix grand,4,4,465,0.243,1.350735605385008e-05,1,0.002937984120746
6,prix time,4,4,465,0.243,1.350735605385008e-05,1,0.002937984120746
6,retirement grand,4,4,465,0.243,1.350735605385008e-05,1,0.002937984120746
6,romagna,4,4,465,0.243,1.350735605385008e-05,0,0.002937984120746
6,romagna grand,4,4,465,0.243,1.350735605385008e-05,1,0.002937984120746
6,wins abu,4,4,465,0.243,1.350735605385008e-05,1,0.002937984120746
6,wins australian,4,4,465,0.243,1.350735605385008e-05,1,0.002937984120746
6,wins austrian,4,4,465,0.243,1.350735605385008e-05,1,0.002937984120746
6,wins azerbaijan,4,4,465,0.243,1.350735605385008e-05,1,0.002937984120746
6,wins belgian,4,4,465,0.243,1.350735605385008e-05,1,0.002937984120746
6,wins british,4,4,465,0.243,1.350735605385008e-05,1,0.002937984120746
6,won grand,4,4,465,0.243,1.350735605385008e-05,1,0.002937984120746
6,second grand,5,7,465,0.426,1.5436840172723303e-05,1,0.0032710166363414
6,ends,5,8,465,0.486,3.9105825384954265e-05,0,0.0076680103220503
6,started,13,60,465,3.648,4.86629446379269e-05,0,0.0094294144760358
6,chinese,4,5,465,0.304,6.427790750158071e-05,0,0.0120287428015779
6,chinese grand,4,5,465,0.304,6.427790750158071e-05,1,0.0120287428015779
6,moment grand,4,5,465,0.304,6.427790750158071e-05,1,0.0120287428015779
6,prix lights,4,5,465,0.304,6.427790750158071e-05,1,0.0120287428015779
6,prix row,4,5,465,0.304,6.427790750158071e-05,1,0.0120287428015779
6,victories row,4,5,465,0.304,6.427790750158071e-05,1,0.0120287428015779
6,grid,13,62,465,3.77,6.997270688772273e-05,0,0.0130024530977106
6,final,18,108,465,6.567,7.84042313851838e-05,0,0.0144466119249087
6,home,16,90,465,5.473,8.825407275520565e-05,0,0.015981754402115
6,winning,6,15,465,0.912,0.0001528376480825,0,0.0253525238061858
6,10th grid,3,3,465,0.182,0.0002234853456182,1,0.0352045692637203
6,fifth grand,3,3,465,0.182,0.0002234853456182,1,0.0352045692637203
6,final grand,3,3,465,0.182,0.0002234853456182,1,0.0352045692637203
6,lead saudi,3,3,465,0.182,0.0002234853456182,1,0.0352045692637203
