pair_id,event_id,threshold,category_id,category_name,register,n_category,n_total,n_assigned,p_all,p_assigned
P01,2023_Australia_GP,0.4,24,Inter-car distance,FULL_RACE,45,2466,1777,0.0182481751824817,0.0253235790658413
P01,2023_Australia_GP,0.4,25,Driver & team references,FULL_RACE,53,2466,1777,0.0214922952149229,0.0298255486775464
P01,2023_Australia_GP,0.4,26,Defending & attacking,FULL_RACE,31,2466,1777,0.0125709651257096,0.0174451322453573
P01,2023_Australia_GP,0.4,27,Overtake battles,FULL_RACE,279,2466,1777,0.1131386861313868,0.1570061902082161
P01,2023_Australia_GP,0.4,28,Corner battles,FULL_RACE,41,2466,1777,0.0166261151662611,0.0230725942599887
P01,2023_Australia_GP,0.4,29,Corner specific moves,FULL_RACE,22,2466,1777,0.0089213300892133,0.012380416432189
P01,2023_Australia_GP,0.4,30,Lap pace & timing,FULL_RACE,60,2466,1777,0.024330900243309,0.0337647720877884
P01,2023_Australia_GP,0.4,31,Race leader changes,FULL_RACE,93,2466,1777,0.0377128953771289,0.052335396736072
P01,2023_Australia_GP,0.4,32,Front position changes,FULL_RACE,42,2466,1777,0.0170316301703163,0.0236353404614518
P01,2023_Australia_GP,0.4,33,Field position changes,FULL_RACE,82,2466,1777,0.0332522303325223,0.0461451885199774
P01,2023_Australia_GP,0.45,0,DRS-assisted battles,FULL_RACE,62,2466,1608,0.0251419302514193,0.0385572139303482
P01,2023_Australia_GP,0.45,1,Time penalties,FULL_RACE,19,2466,1608,0.0077047850770478,0.0118159203980099
P01,2023_Australia_GP,0.45,2,Lights-out race starts,FULL_RACE,6,2466,1608,0.0024330900243309,0.003731343283582
P01,2023_Australia_GP,0.45,3,Mirror checks defending,FULL_RACE,9,2466,1608,0.0036496350364963,0.0055970149253731
P01,2023_Australia_GP,0.45,4,Race start launch,FULL_RACE,7,2466,1608,0.002838605028386,0.0043532338308457
P01,2023_Australia_GP,0.45,5,Weather conditions,FULL_RACE,6,2466,1608,0.0024330900243309,0.003731343283582
P01,2023_Australia_GP,0.45,6,Grand Prix wins,FULL_RACE,109,2466,1608,0.0442011354420113,0.0677860696517412
P01,2023_Australia_GP,0.45,7,Race start lights,FULL_RACE,8,2466,1608,0.0032441200324412,0.0049751243781094
P01,2023_Australia_GP,0.45,8,Race control flags,FULL_RACE,50,2466,1608,0.0202757502027575,0.031094527363184
P01,2023_Australia_GP,0.45,9,Formula 1 milestones,FULL_RACE,29,2466,1608,0.0117599351175993,0.0180348258706467
P01,2023_Australia_GP,0.45,10,Chicane moves,FULL_RACE,5,2466,1608,0.0020275750202757,0.0031094527363184
P01,2023_Australia_GP,0.45,11,Team radio celebrations,FULL_RACE,17,2466,1608,0.0068937550689375,0.0105721393034825
P01,2023_Australia_GP,0.45,12,Podium finishes,FULL_RACE,41,2466,1608,0.0166261151662611,0.0254975124378109
P01,2023_Australia_GP,0.45,13,Championship & title,FULL_RACE,48,2466,1608,0.0194647201946472,0.0298507462686567
P01,2023_Australia_GP,0.45,14,Pit stops,FULL_RACE,41,2466,1608,0.0166261151662611,0.0254975124378109
P01,2023_Australia_GP,0.45,15,Tires & compounds,FULL_RACE,75,2466,1608,0.0304136253041362,0.0466417910447761
P01,2023_Australia_GP,0.45,16,Safety car deployment,FULL_RACE,73,2466,1608,0.0296025952960259,0.0453980099502487
P01,2023_Australia_GP,0.45,17,Gap & pace,FULL_RACE,42,2466,1608,0.0170316301703163,0.0261194029850746
P01,2023_Australia_GP,0.45,18,Team dynamics,FULL_RACE,130,2466,1608,0.0527169505271695,0.0808457711442786
P01,2023_Australia_GP,0.45,19,Race lead holding,FULL_RACE,16,2466,1608,0.0064882400648824,0.0099502487562189
P01,2023_Australia_GP,0.45,20,Wing & car damage,FULL_RACE,20,2466,1608,0.008110300081103,0.0124378109452736
P01,2023_Australia_GP,0.45,21,Braking & lockups,FULL_RACE,45,2466,1608,0.0182481751824817,0.0279850746268656
P01,2023_Australia_GP,0.45,22,Wheel-to-wheel,FULL_RACE,22,2466,1608,0.0089213300892133,0.0136815920398009
P01,2023_Australia_GP,0.45,23,Circuit action,FULL_RACE,42,2466,1608,0.0170316301703163,0.0261194029850746
P01,2023_Australia_GP,0.45,24,Inter-car distance,FULL_RACE,40,2466,1608,0.016220600162206,0.0248756218905472
P01,2023_Australia_GP,0.45,25,Driver & team references,FULL_RACE,48,2466,1608,0.0194647201946472,0.0298507462686567
P01,2023_Australia_GP,0.45,26,Defending & attacking,FULL_RACE,26,2466,1608,0.0105433901054339,0.0161691542288557
P01,2023_Australia_GP,0.45,27,Overtake battles,FULL_RACE,261,2466,1608,0.1058394160583941,0.1623134328358209
P01,2023_Australia_GP,0.45,28,Corner battles,FULL_RACE,33,2466,1608,0.0133819951338199,0.0205223880597014
P01,2023_Australia_GP,0.45,29,Corner specific moves,FULL_RACE,22,2466,1608,0.0089213300892133,0.0136815920398009
P01,2023_Australia_GP,0.45,30,Lap pace & timing,FULL_RACE,55,2466,1608,0.0223033252230332,0.0342039800995024
P01,2023_Australia_GP,0.45,31,Race leader changes,FULL_RACE,91,2466,1608,0.0369018653690186,0.056592039800995
P01,2023_Australia_GP,0.45,32,Front position changes,FULL_RACE,37,2466,1608,0.0150040551500405,0.0230099502487562
P01,2023_Australia_GP,0.45,33,Field position changes,FULL_RACE,73,2466,1608,0.0296025952960259,0.0453980099502487
P02,2023_Qatar_GP,0.35,0,DRS-assisted battles,HIGHLIGHT,0,50,50,0.0,0.0
P02,2023_Qatar_GP,0.35,1,Time penalties,HIGHLIGHT,2,50,50,0.04,0.04
P02,2023_Qatar_GP,0.35,2,Lights-out race starts,HIGHLIGHT,0,50,50,0.0,0.0
P02,2023_Qatar_GP,0.35,3,Mirror checks defending,HIGHLIGHT,1,50,50,0.02,0.02
P02,2023_Qatar_GP,0.35,4,Race start launch,HIGHLIGHT,1,50,50,0.02,0.02
P02,2023_Qatar_GP,0.35,5,Weather conditions,HIGHLIGHT,1,50,50,0.02,0.02
P02,2023_Qatar_GP,0.35,6,Grand Prix wins,HIGHLIGHT,4,50,50,0.08,0.08
P02,2023_Qatar_GP,0.35,7,Race start lights,HIGHLIGHT,0,50,50,0.0,0.0
P02,2023_Qatar_GP,0.35,8,Race control flags,HIGHLIGHT,0,50,50,0.0,0.0
P02,2023_Qatar_GP,0.35,9,Formula 1 milestones,HIGHLIGHT,1,50,50,0.02,0.02
P02,2023_Qatar_GP,0.35,10,Chicane moves,HIGHLIGHT,0,50,50,0.0,0.0
P02,2023_Qatar_GP,0.35,11,Team radio celebrations,HIGHLIGHT,1,50,50,0.02,0.02
P02,2023_Qatar_GP,0.35,12,Podium finishes,HIGHLIGHT,1,50,50,0.02,0.02
P02,2023_Qatar_GP,0.35,13,Championship & title,HIGHLIGHT,1,50,50,0.02,0.02
P02,2023_Qatar_GP,0.35,14,Pit stops,HIGHLIGHT,2,50,50,0.04,0.04
P02,2023_Qatar_GP,0.35,15,Tires & compounds,HIGHLIGHT,3,50,50,0.06,0.06
P02,2023_Qatar_GP,0.35,16,Safety car deployment,HIGHLIGHT,1,50,50,0.02,0.02
P02,2023_Qatar_GP,0.35,17,Gap & pace,HIGHLIGHT,0,50,50,0.0,0.0
P02,2023_Qatar_GP,0.35,18,Team dynamics,HIGHLIGHT,8,50,50,0.16,0.16
P02,2023_Qatar_GP,0.35,19,Race lead holding,HIGHLIGHT,0,50,50,0.0,0.0
P02,2023_Qatar_GP,0.35,20,Wing & car damage,HIGHLIGHT,0,50,50,0.0,0.0
P02,2023_Qatar_GP,0.35,21,Braking & lockups,HIGHLIGHT,5,50,50,0.1,0.1
P02,2023_Qatar_GP,0.35,22,Wheel-to-wheel,HIGHLIGHT,3,50,50,0.06,0.06
P02,2023_Qatar_GP,0.35,23,Circuit action,HIGHLIGHT,1,50,50,0.02,0.02
P02,2023_Qatar_GP,0.35,24,Inter-car distance,HIGHLIGHT,0,50,50,0.0,0.0
P02,2023_Qatar_GP,0.35,25,Driver & team references,HIGHLIGHT,2,50,50,0.04,0.04
P02,2023_Qatar_GP,0.35,26,Defending & attacking,HIGHLIGHT,3,50,50,0.06,0.06
P02,2023_Qatar_GP,0.35,27,Overtake battles,HIGHLIGHT,2,50,50,0.04,0.04
P02,2023_Qatar_GP,0.35,28,Corner battles,HIGHLIGHT,0,50,50,0.0,0.0
P02,2023_Qatar_GP,0.35,29,Corner specific moves,HIGHLIGHT,1,50,50,0.02,0.02
P02,2023_Qatar_GP,0.35,30,Lap pace & timing,HIGHLIGHT,2,50,50,0.04,0.04
P02,2023_Qatar_GP,0.35,31,Race leader changes,HIGHLIGHT,0,50,50,0.0,0.0
P02,2023_Qatar_GP,0.35,32,Front position changes,HIGHLIGHT,2,50,50,0.04,0.04
