event_id,domain,metric,H_r,F_r,observed_effect,null_mean,null_sd,null_p2.5,null_p50,null_p97.5,p_one_sided_depletion,p_one_sided_enrichment,p_two_sided,z_vs_null,outside_central_95,below_null_p2.5
2024_SaoPaulo_GP,Race dynamics,all,96,1905,0.1744258530183722,-0.0003606053149606,0.043964332474855,-0.0859908136482939,-0.0026574803149606,0.0910925196850393,0.999900009999,0.0001999800019998,0.0003999600039996,3.975642264858683,True,False
2024_SaoPaulo_GP,Narrative & meta,all,96,1905,0.0259350393700786,-2.2252296587936725e-05,0.0404722609137659,-0.0782316272965879,-0.0053149606299212,0.078018372703412,0.6994300569943006,0.3006699330066993,0.6013398660133986,0.6413600594731693,False,False
2024_SaoPaulo_GP,Strategy & technical,all,96,1905,-0.0963582677165355,0.0001698572834645,0.0396567582053713,-0.0755249343832021,-0.0026082677165354,0.0807250656167979,0.0033996600339966,0.9967003299670032,0.0067993200679932,-2.4340901618863486,True,True
2024_SaoPaulo_GP,Regulatory,all,96,1905,0.0563156167979002,4.4783464566929984e-05,0.0230674170191182,-0.0374343832020997,-0.0061843832020997,0.0458989501312336,0.98000199980002,0.0200979902009799,0.0401959804019598,2.43940764094637,True,False
2024_Italy_GP,Race dynamics,assigned,69,1458,0.1231444955061201,0.0007824343130598,0.0670214707302398,-0.1334671829437353,0.0009254022929412,0.1330008739910544,0.965003499650035,0.0350964903509649,0.0701929807019298,1.8257143548157175,False,False
2024_Italy_GP,Narrative & meta,assigned,69,1458,-0.0215950221643826,-0.0001137323209849,0.0626827885331049,-0.1215036423288661,-0.0016056831451927,0.1233943168548072,0.3711628837116288,0.628937106289371,0.7423257674232576,-0.3426983761587561,False,False
2024_Italy_GP,Strategy & technical,assigned,69,1458,-0.0946764813534508,-0.0004345570756478,0.0598571112627326,-0.1130222524977293,-0.0002348961758902,0.1211444141689373,0.053994600539946,0.946105389461054,0.107989201079892,-1.5744482533436,False,False
2024_Italy_GP,Regulatory,assigned,69,1458,-0.0068729919882875,-0.000234144916427,0.0195497529836637,-0.0217983651226158,-0.0025675958918465,0.0448683015440508,0.3085691430856914,0.6915308469153084,0.6171382861713829,-0.3395872611489257,False,False
2024_Italy_GP,Race dynamics,all,69,1458,0.2089819287886919,0.0007587403828949,0.054802249191318,-0.1098586509214528,0.0060833780640543,0.1075326534263731,1.0,9.999000099990002e-05,0.0001999800019998,3.7995372722545913,True,False
2024_Italy_GP,Narrative & meta,all,69,1458,0.0449096439434602,2.3975666487701053e-06,0.049593705316248,-0.1000178922884237,0.0014313830738951,0.1028806584362139,0.7837216278372163,0.2163783621637836,0.4327567243275672,0.9055029482158656,False,False
2024_Italy_GP,Strategy & technical,all,69,1458,-0.0360529611737341,-0.0002862945070674,0.0467116724892497,-0.0940239756664877,-0.0070674539273573,0.0943818214349615,0.1811818818118188,0.8189181081891811,0.3623637636236376,-0.7656901318379924,False,False
2024_Italy_GP,Regulatory,all,69,1458,-0.0019681517266058,-0.0001536589729826,0.0148253828651172,-0.0164609053497942,-0.0019681517266058,0.0270173555197709,0.3085691430856914,0.6915308469153084,0.6171382861713829,-0.1223909540908068,False,False
2024_LasVegas_GP,Race dynamics,assigned,105,1344,0.1313616933334777,0.0013100506989518,0.0517535644258975,-0.0979600881745763,0.0006160344979319,0.1027330955191024,0.9946005399460054,0.0054994500549945,0.010998900109989,2.512902136832295,True,False
2024_LasVegas_GP,Narrative & meta,assigned,105,1344,-0.0520791411510058,-0.0004816490320145,0.0521425220414548,-0.1000011663303747,-0.0002689039475099,0.1045130932395505,0.1533846615338466,0.8467153284671532,0.3067693230676932,-0.989547304174696,False,False
2024_LasVegas_GP,Strategy & technical,assigned,105,1344,-0.0556685556413633,-0.000511345078833,0.0440495828078891,-0.0835601617219976,-0.001455770669802,0.08702807357212,0.1033896610338966,0.8967103289671033,0.2067793220677932,-1.2521619285949706,False,False
2024_LasVegas_GP,Regulatory,assigned,105,1344,-0.0236139965411097,-0.0003170565881042,0.0200228268237508,-0.0348499515972894,0.0004441660497693,0.0420731253257874,0.0610938906109389,0.939006099390061,0.1221877812218778,-1.1635190254640215,False,False
