threshold,category_id,category_name,metric,n_events,mean_delta,median_delta,sd,q1,q3,iqr,min,max,n_positive,n_negative,n_zero,majority_sign,n_majority
0.4,9,Formula 1 milestones,assigned,10,0.0007395204913844,-0.0013083570912189,0.0178230662395313,-0.0126223936911041,0.0067559789158066,0.0193783726069108,-0.022175044938945,0.034006092916984,4,6,0,-1,6
0.4,10,Chicane moves,all,10,0.0052414648463558,0.0,0.0145533615719187,-0.0004598405885959,0.0024719289425171,0.0029317695311131,-0.0024330900243309,0.0456253354804079,3,3,4,0,3
0.4,10,Chicane moves,assigned,10,0.0047924698724891,0.0,0.0140611903890899,-0.0006122448979591,0.0011989649223691,0.0018112098203283,-0.0033764772087788,0.0433527186953515,3,3,4,0,3
0.4,11,Team radio celebrations,all,10,-0.0066411353446389,-0.0091441773253867,0.0088145177130657,-0.0117836627963942,-0.0056046098670354,0.0061790529293588,-0.0142215568862275,0.0149951718579169,2,8,0,-1,8
0.4,11,Team radio celebrations,assigned,10,-0.010600715151209,-0.013469595652948,0.0099950716107641,-0.0164267496577704,-0.0090195377465533,0.0074072119112171,-0.0199161425576519,0.0142610695802185,1,9,0,-1,9
0.4,12,Podium finishes,all,10,-0.0028835730764961,-0.0014380735958357,0.0100363193167329,-0.01207286549442,0.005286080283699,0.0173589457781191,-0.0174371451743714,0.0107142857142857,4,6,0,-1,6
0.4,12,Podium finishes,assigned,10,-0.0067454954827206,-0.005225574864294,0.0113704355190393,-0.016004003781349,0.0021542629201933,0.0181582667015423,-0.024198086662915,0.0104745641036796,4,6,0,-1,6
0.4,13,Championship & title,all,10,0.0058981403618652,-0.0008085739029733,0.0221116669220911,-0.0095745813935616,0.0165087125856975,0.0260832939792592,-0.0140990082366784,0.0518334711883099,5,5,0,0,5
0.4,13,Championship & title,assigned,10,-0.0018800660318932,-0.0094496498809167,0.0241737894814461,-0.0203541184388783,0.0119089631427046,0.0322630815815829,-0.0242825264984813,0.0459057071960297,3,7,0,-1,7
0.4,14,Pit stops,all,10,0.0002119618776496,-0.0025077340549864,0.0149044893455727,-0.0036233558766765,0.009182457072743,0.0128058129494196,-0.0257510729613733,0.0245535714285714,4,6,0,-1,6
0.4,14,Pit stops,assigned,10,-0.0068423912854689,-0.0096508878962089,0.0165050568921773,-0.0125626576361033,-0.0008658243900777,0.0116968332460256,-0.0342857142857142,0.0261700947387885,3,7,0,-1,7
0.4,15,Tires & compounds,all,10,0.0001133615277087,-0.0152591610005825,0.0561613521142664,-0.0204977450545203,-0.0025272277718841,0.0179705172826361,-0.0654434250764526,0.1444444444444444,2,8,0,-1,8
0.4,15,Tires & compounds,assigned,10,-0.0144449907940888,-0.0244561414699291,0.0579582689458685,-0.0424275640854139,-0.0132004877521666,0.0292270763332473,-0.0814927646610814,0.1327543424317618,2,8,0,-1,8
0.4,16,Safety car deployment,all,10,-0.0010936699788158,0.0005768897281706,0.0179061260561455,-0.0119307882618067,0.0058954344708266,0.0178262227326333,-0.0306560392397302,0.0367782152230971,5,5,0,0,5
0.4,16,Safety car deployment,assigned,10,-0.0068358483416333,-0.0059259797657442,0.019648002924406,-0.0167720347363044,0.0007299442215777,0.0175019789578821,-0.0408163265306122,0.0344827586206896,3,7,0,-1,7
0.4,17,Gap & pace,all,10,-0.0165458944241694,-0.0174866948792115,0.0079471289504114,-0.0223234790963629,-0.0110749902509674,0.0112484888453954,-0.0257510729613733,-0.0032809484422387,0,10,0,-1,10
0.4,17,Gap & pace,assigned,10,-0.02522370790383,-0.0258095874390376,0.007205692775295,-0.0297136780405656,-0.0191586321650073,0.0105550458755582,-0.0356394129979035,-0.0148883374689826,0,10,0,-1,10
0.4,18,Team dynamics,all,10,0.040595380726709,0.0312275524570432,0.0510894294187085,0.0023656969371829,0.0652046573615201,0.0628389604243371,-0.0176178660049627,0.1387418053454362,7,3,0,1,7
