fr_cluster,term,in_cluster,cluster_size,p_value,significant,weight
3,2022,10,1046,4.560419578414017e-09,True,0.0095602294455066
3,2024,13,1046,4.9479281133484775e-09,True,0.0124282982791587
3,nation,34,1046,5.3743975733454366e-09,True,0.0325047801147227
3,fastest lap,25,1046,5.974577751545309e-09,True,0.0239005736137667
3,start,66,1046,1.03212592242383e-08,True,0.0630975143403441
3,career,21,1046,1.7307860879799547e-08,True,0.020076481835564
3,trying win,9,1046,1.9692219611956263e-08,True,0.008604206500956
3,row,22,1046,2.0055824997994413e-08,True,0.0210325047801147
3,second,81,1046,2.1938475201955826e-08,True,0.0774378585086042
3,2025,10,1046,2.2221771927087955e-08,True,0.0095602294455066
3,earlier grand,7,1046,2.6101687146719534e-08,True,0.0066921606118546
3,prix underway,7,1046,2.6101687146719534e-08,True,0.0066921606118546
3,10 grand,6,1046,5.5939707204907956e-08,True,0.005736137667304
3,barrain grand,6,1046,5.5939707204907956e-08,True,0.005736137667304
3,japanese,6,1046,5.5939707204907956e-08,True,0.005736137667304
3,japanese grand,6,1046,5.5939707204907956e-08,True,0.005736137667304
3,laps grand,6,1046,5.5939707204907956e-08,True,0.005736137667304
3,points formula,6,1046,5.5939707204907956e-08,True,0.005736137667304
3,prix second,6,1046,5.5939707204907956e-08,True,0.005736137667304
3,prix victories,6,1046,5.5939707204907956e-08,True,0.005736137667304
3,format,8,1046,8.397531652607631e-08,True,0.0076481835564053
3,just fastest,9,1046,1.0045421309190673e-07,True,0.008604206500956
3,youngest,7,1046,1.1113281514307644e-07,True,0.0066921606118546
3,best,28,1046,2.414280453300251e-07,True,0.0267686424474187
3,barrain,6,1046,3.708865590319474e-07,True,0.005736137667304
3,june,6,1046,3.708865590319474e-07,True,0.005736137667304
3,prix just,6,1046,3.708865590319474e-07,True,0.005736137667304
3,qualifying,27,1046,4.229296083147797e-07,True,0.025812619502868
3,penultimate,8,1046,4.554032883091007e-07,True,0.0076481835564053
3,2019,9,1046,6.843640282315134e-07,True,0.008604206500956
3,austrian,5,1046,9.065886649894352e-07,True,0.0047801147227533
3,austrian grand,5,1046,9.065886649894352e-07,True,0.0047801147227533
3,fastest final,5,1046,9.065886649894352e-07,True,0.0047801147227533
3,fastest middle,5,1046,9.065886649894352e-07,True,0.0047801147227533
3,nation grand,5,1046,9.065886649894352e-07,True,0.0047801147227533
3,prix qualifying,5,1046,9.065886649894352e-07,True,0.0047801147227533
3,prix seconds,5,1046,9.065886649894352e-07,True,0.0047801147227533
3,qualifying grand,5,1046,9.065886649894352e-07,True,0.0047801147227533
3,start formula,5,1046,9.065886649894352e-07,True,0.0047801147227533
3,way grand,5,1046,9.065886649894352e-07,True,0.0047801147227533
3,formula race,7,1046,9.120954963583264e-07,True,0.0066921606118546
3,victories,8,1046,9.22705384387425e-07,True,0.0076481835564053
3,venue,8,1046,1.7449565556829422e-06,True,0.0076481835564053
3,fia,7,1046,2.071463748123477e-06,True,0.0066921606118546
3,podium formula,5,1046,5.15983345391207e-06,True,0.0047801147227533
3,prix got,5,1046,5.15983345391207e-06,True,0.0047801147227533
3,sector entire,5,1046,5.15983345391207e-06,True,0.0047801147227533
3,time formula,5,1046,5.15983345391207e-06,True,0.0047801147227533
3,youngest driver,5,1046,5.15983345391207e-06,True,0.0047801147227533
3,scored,10,1046,5.427637883878515e-06,True,0.0095602294455066
3,2023,8,1046,8.665793654356896e-06,True,0.0076481835564053
3,longest,7,1046,1.4266282861975235e-05,True,0.0066921606118546
3,formula 2024,4,1046,1.467942798051991e-05,True,0.0038240917782026
3,leading grand,4,1046,1.467942798051991e-05,True,0.0038240917782026
3,left grand,4,1046,1.467942798051991e-05,True,0.0038240917782026
3,long grand,4,1046,1.467942798051991e-05,True,0.0038240917782026
3,position grand,4,1046,1.467942798051991e-05,True,0.0038240917782026
3,prix going,4,1046,1.467942798051991e-05,True,0.0038240917782026
3,prix lap,4,1046,1.467942798051991e-05,True,0.0038240917782026
3,prix past,4,1046,1.467942798051991e-05,True,0.0038240917782026
3,prix sprint,4,1046,1.467942798051991e-05,True,0.0038240917782026
3,prix wins,4,1046,1.467942798051991e-05,True,0.0038240917782026
3,season formula,4,1046,1.467942798051991e-05,True,0.0038240917782026
3,seen grand,4,1046,1.467942798051991e-05,True,0.0038240917782026
3,spanish,4,1046,1.467942798051991e-05,True,0.0038240917782026
3,spanish grand,4,1046,1.467942798051991e-05,True,0.0038240917782026
3,stage grand,4,1046,1.467942798051991e-05,True,0.0038240917782026
3,stop grand,4,1046,1.467942798051991e-05,True,0.0038240917782026
3,victories row,4,1046,1.467942798051991e-05,True,0.0038240917782026
3,wins grand,4,1046,1.467942798051991e-05,True,0.0038240917782026
3,won formula,4,1046,1.467942798051991e-05,True,0.0038240917782026
3,year formula,4,1046,1.467942798051991e-05,True,0.0038240917782026
3,saturday,6,1046,1.971281238676146e-05,True,0.005736137667304
3,record,9,1046,2.210054297579033e-05,True,0.008604206500956
3,story,9,1046,2.210054297579033e-05,True,0.008604206500956
3,entire,11,1046,2.773872330813216e-05,True,0.0105162523900573
3,years,17,1046,2.814603612133954e-05,True,0.0162523900573613
3,way,61,1046,2.84092057620016e-05,True,0.0583173996175908
3,claim,8,1046,3.101553337542152e-05,True,0.0076481835564053
3,champion,20,1046,3.1510398537073624e-05,True,0.0191204588910133
3,sprint,16,1046,3.656755022779184e-05,True,0.0152963671128107
3,ends,6,1046,3.735416102539945e-05,True,0.005736137667304
3,time career,7,1046,3.8626938257898105e-05,True,0.0066921606118546
3,trophy,11,1046,4.504624624570037e-05,True,0.0105162523900573
3,place grand,4,1046,6.977078524264182e-05,True,0.0038240917782026
