event_id,threshold,category_id,delta_all,delta_assigned
2023_Qatar_GP,0.45,1,-0.009191616766467067,-0.024713970293054995
2023_Qatar_GP,0.45,2,-0.0007485029940119761,-0.0011792452830188679
2023_Qatar_GP,0.45,3,0.019251497005988025,0.020097350461661983
2023_Qatar_GP,0.45,4,0.019251497005988025,0.020097350461661983
2023_Qatar_GP,0.45,5,0.017754491017964072,0.017738859895624248
2023_Qatar_GP,0.45,6,0.020119760479041918,-0.009233239662786039
2023_Qatar_GP,0.45,7,-0.0014970059880239522,-0.0023584905660377358
2023_Qatar_GP,0.45,8,-0.008233532934131737,-0.012971698113207548
2023_Qatar_GP,0.45,9,0.005778443113772456,-0.0011290646326776385
2023_Qatar_GP,0.45,10,0.0,0.0
2023_Qatar_GP,0.45,11,-0.009730538922155689,-0.015330188679245283
2023_Qatar_GP,0.45,12,0.008023952095808383,0.0024086712163789645
2023_Qatar_GP,0.45,13,0.002784431137724551,-0.005846045764753113
2023_Qatar_GP,0.45,14,0.013053892215568862,0.0001003613006824583
2023_Qatar_GP,0.45,15,-0.019341317365269464,-0.06117021276595745
2023_Qatar_GP,0.45,16,0.011017964071856288,0.007125652348454435
2023_Qatar_GP,0.45,17,-0.020209580838323353,-0.031839622641509434
2023_Qatar_GP,0.45,18,0.08011976047904193,0.05459654757125651
2023_Qatar_GP,0.45,19,-0.004491017964071856,-0.007075471698113208
2023_Qatar_GP,0.45,20,-0.0074850299401197605,-0.01179245283018868
2023_Qatar_GP,0.45,21,0.08577844311377246,0.08397731834604577
2023_Qatar_GP,0.45,22,0.053263473053892216,0.05321657968687274
2023_Qatar_GP,0.45,23,0.004281437125748504,-0.0034875551987153773
2023_Qatar_GP,0.45,24,-0.006736526946107785,-0.01061320754716981
2023_Qatar_GP,0.45,25,0.005568862275449102,-0.011692091529506225
2023_Qatar_GP,0.45,26,0.049520958083832334,0.0473203532717784
2023_Qatar_GP,0.45,27,-0.03410179640718563,-0.07419209152950623
2023_Qatar_GP,0.45,28,-0.008233532934131737,-0.012971698113207548
2023_Qatar_GP,0.45,29,0.017005988023952097,0.01655961461260538
2023_Qatar_GP,0.45,30,0.01380239520958084,0.001279606583701326
2023_Qatar_GP,0.45,31,-0.035179640718562874,-0.055424528301886794
2023_Qatar_GP,0.45,32,0.02502994011976048,0.01896828582898434
2023_Qatar_GP,0.45,33,0.022035928143712576,0.01425130469690887
2023_Singapore_GP,0.35,0,0.025535168195718657,0.02157071783937456
2023_Singapore_GP,0.35,1,0.00871559633027523,0.007427149964463397
2023_Singapore_GP,0.35,2,-0.004281345565749235,-0.004975124378109453
2023_Singapore_GP,0.35,3,-0.0024464831804281344,-0.0028429282160625444
2023_Singapore_GP,0.35,4,0.014831804281345565,0.014534470504619758
2023_Singapore_GP,0.35,5,-0.005504587155963303,-0.006396588486140725
2023_Singapore_GP,0.35,6,0.04128440366972477,0.03176972281449894
2023_Singapore_GP,0.35,7,-0.0030581039755351682,-0.0035536602700781805
2023_Singapore_GP,0.35,8,-0.00856269113149847,-0.009950248756218905
2023_Singapore_GP,0.35,9,0.037155963302752296,0.03507462686567164
2023_Singapore_GP,0.35,10,0.0,0.0
2023_Singapore_GP,0.35,11,-0.010397553516819572,-0.012082444918265814
2023_Singapore_GP,0.35,12,-0.0022935779816513763,-0.005366027007818054
2023_Singapore_GP,0.35,13,-0.022477064220183484,-0.028820184790334043
2023_Singapore_GP,0.35,14,0.016972477064220184,0.01162046908315565
2023_Singapore_GP,0.35,15,-0.06666666666666667,-0.07746979388770434
2023_Singapore_GP,0.35,16,0.0039755351681957166,-0.0007818052594171995
2023_Singapore_GP,0.35,17,-0.023700305810397556,-0.03024164889836532
2023_Singapore_GP,0.35,18,0.06422018348623854,0.05302061122956646
2023_Singapore_GP,0.35,19,0.012385321100917432,0.011691542288557214
2023_Singapore_GP,0.35,20,-0.018960244648318043,-0.02203269367448472
2023_Singapore_GP,0.35,21,0.00948012232415902,0.0056147832267235236
2023_Singapore_GP,0.35,22,0.014831804281345565,0.014534470504619758
2023_Singapore_GP,0.35,23,-0.011467889908256881,-0.016027007818052597
2023_Singapore_GP,0.35,24,-0.007186544342507647,-0.011051883439943143
2023_Singapore_GP,0.35,25,0.029969418960244645,0.0240227434257285
2023_Singapore_GP,0.35,26,-0.007186544342507647,-0.011051883439943143
2023_Singapore_GP,0.35,27,0.027064220183486226,0.007142857142857145
2023_Singapore_GP,0.35,28,0.026605504587155965,0.025515280739161338
2023_Singapore_GP,0.35,29,-0.012844036697247707,-0.014925373134328358
