n_events,mean_delta,median_delta,sd,q1,q3,iqr,min,max,n_negative,n_positive,n_zero,threshold,category_id,metric,category_name,majority_sign,n_majority
10,0.004966857525011736,0.0035824286734960024,0.016918653211141457,-0.00904889059006513,0.008930404426727954,0.017979295016793087,-0.012586148932593712,0.037155963302752296,4,6,0,0.4,9,all,Formula 1 milestones,1,6
10,0.0007395204913844582,-0.0013083570912189677,0.01782306623953132,-0.012622393691104178,0.0067559789158066815,0.01937837260691086,-0.02217504493894502,0.034006092916984004,6,4,0,0.4,9,assigned,Formula 1 milestones,-1,6
10,0.005241464846355829,0.0,0.01455336157191879,-0.0004598405885959534,0.0024719289425171767,0.00293176953111313,-0.0024330900243309003,0.045625335480407946,3,3,4,0.4,10,all,Chicane moves,0,3
10,0.004792469872489197,0.0,0.014061190389089937,-0.0006122448979591836,0.0011989649223691778,0.0018112098203283615,-0.0033764772087788407,0.04335271869535158,3,3,4,0.4,10,assigned,Chicane moves,0,3
10,-0.006641135344638963,-0.009144177325386728,0.008814517713065718,-0.011783662796394277,-0.005604609867035451,0.006179052929358826,-0.014221556886227544,0.014995171857916954,8,2,0,0.4,11,all,Team radio celebrations,-1,8
10,-0.010600715151209087,-0.01346959565294803,0.009995071610764183,-0.01642674965777041,-0.009019537746553306,0.007407211911217102,-0.019916142557651992,0.014261069580218519,9,1,0,0.4,11,assigned,Team radio celebrations,-1,9
10,-0.002883573076496105,-0.0014380735958357833,0.010036319316732935,-0.012072865494420097,0.00528608028369903,0.017358945778119125,-0.017437145174371452,0.010714285714285714,6,4,0,0.4,12,all,Podium finishes,-1,6
10,-0.006745495482720659,-0.005225574864294055,0.011370435519039334,-0.016004003781349054,0.002154262920193318,0.018158266701542372,-0.024198086662915026,0.010474564103679692,6,4,0,0.4,12,assigned,Podium finishes,-1,6
10,0.005898140361865258,-0.0008085739029733419,0.02211166692209115,-0.00957458139356164,0.01650871258569757,0.02608329397925921,-0.014099008236678433,0.0518334711883099,5,5,0,0.4,13,all,Championship & title,0,5
10,-0.0018800660318932828,-0.009449649880916728,0.024173789481446162,-0.020354118438878376,0.011908963142704607,0.03226308158158298,-0.024282526498481376,0.04590570719602977,7,3,0,0.4,13,assigned,Championship & title,-1,7
10,0.00021196187764965582,-0.0025077340549864054,0.01490448934557276,-0.003623355876676562,0.009182457072743067,0.01280581294941963,-0.02575107296137339,0.024553571428571425,6,4,0,0.4,14,all,Pit stops,-1,6
10,-0.006842391285468982,-0.009650887896208934,0.016505056892177333,-0.012562657636103383,-0.000865824390077723,0.01169683324602566,-0.03428571428571429,0.026170094738788518,7,3,0,0.4,14,assigned,Pit stops,-1,7
10,0.00011336152770876005,-0.01525916100058257,0.05616135211426647,-0.020497745054520313,-0.0025272277718841225,0.01797051728263619,-0.0654434250764526,0.14444444444444446,8,2,0,0.4,15,all,Tires & compounds,-1,8
10,-0.014444990794088869,-0.024456141469929124,0.05795826894586857,-0.04242756408541394,-0.013200487752166614,0.029227076333247327,-0.08149276466108149,0.1327543424317618,8,2,0,0.4,15,assigned,Tires & compounds,-1,8
10,-0.001093669978815871,0.0005768897281706771,0.017906126056145572,-0.011930788261806779,0.0058954344708266,0.01782622273263338,-0.030656039239730228,0.03677821522309711,5,5,0,0.4,16,all,Safety car deployment,0,5
10,-0.006835848341633361,-0.005925979765744205,0.019648002924406063,-0.01677203473630444,0.0007299442215777507,0.01750197895788219,-0.04081632653061224,0.034482758620689655,7,3,0,0.4,16,assigned,Safety car deployment,-1,7
10,-0.016545894424169417,-0.01748669487921152,0.007947128950411483,-0.022323479096362953,-0.011074990250967488,0.011248488845395465,-0.02575107296137339,-0.0032809484422387653,10,0,0,0.4,17,all,Gap & pace,-1,10
10,-0.025223707903830068,-0.025809587439037614,0.0072056927752950275,-0.029713678040565628,-0.019158632165007385,0.010555045875558243,-0.03563941299790356,-0.014888337468982632,10,0,0,0.4,17,assigned,Gap & pace,-1,10
10,0.040595380726709096,0.031227552457043242,0.0510894294187085,0.0023656969371829897,0.0652046573615201,0.06283896042433712,-0.017617866004962776,0.13874180534543623,3,7,0,0.4,18,all,Team dynamics,1,7
10,0.024328533167275623,0.014836661608707342,0.05066217543698329,-0.009460183844878959,0.05021931566802011,0.05967949951289907,-0.0347394540942928,0.12364408355544536,4,6,0,0.4,18,assigned,Team dynamics,1,6
10,0.011753997675669235,0.010749469028835822,0.012433915371805077,0.007526685400437548,0.015101924472911428,0.00757523907247388,-0.005239520958083832,0.03864094805849722,2,8,0,0.4,19,all,Race lead holding,1,8
10,0.011003814582778399,0.010296779335119341,0.013186549883520783,0.005929162055414718,0.015044830192613443,0.009115668137198725,-0.007337526205450734,0.03990268393975083,2,8,0,0.4,19,assigned,Race lead holding,1,8
10,-0.0015602847316285428,-0.0042506720430107526,0.013846340890558126,-0.012601517149187863,0.0045620195971921304,0.017163536746379993,-0.01783264746227709,0.021035616743771246,6,4,0,0.4,20,all,Wing & car damage,-1,6
10,-0.004819155795856299,-0.006332567632960223,0.014720375642855289,-0.017172852989217644,0.0033484351286468465,0.02052128811786449,-0.023614895549500452,0.01838881433704169,6,4,0,0.4,20,assigned,Wing & car damage,-1,6
10,0.015718994032556523,0.007986470554405337,0.033464157472256006,0.004861024826675318,0.01568756118210778,0.010826536355432462,-0.029227601277525633,0.07679640718562875,2,8,0,0.4,21,all,Braking & lockups,1,8
10,0.008648924820377263,0.004512885066071452,0.03527173869335035,-0.001663584261915178,0.0058763144760315906,0.0075398987379467685,-0.04535734209384491,0.06954605741667737,3,7,0,0.4,21,assigned,Braking & lockups,1,7
10,0.017954318648604178,0.018479300482654056,0.022372316535971416,-0.0031680941607412196,0.0322891292631197,0.03545722342386092,-0.007564296520423601,0.053263473053892216,4,6,0,0.4,22,all,Wheel-to-wheel,1,6
10,0.01679250621774319,0.017574958465948923,0.022598510378175108,-0.0041595435727379455,0.03134731822479757,0.03550686179753551,-0.01053740779768177,0.051790527531767425,4,6,0,0.4,22,assigned,Wheel-to-wheel,1,6
10,0.0005388291442347002,-0.0012657564865809334,0.016114010700066708,-0.009494115880297072,0.01454305950962389,0.024037175389920964,-0.019113592500689273,0.02424741186012118,7,3,0,0.4,23,all,Circuit action,-1,7
10,-0.006305588694858813,-0.009217458399538518,0.01749753939486762,-0.015303421646703484,0.0094819374302657,0.024785359076969184,-0.03163771712158809,0.01857928228215229,7,3,0,0.4,23,assigned,Circuit action,-1,7
10,0.0007267587803254487,-0.0038349094212118,0.017148559772157585,-0.008232762869323083,0.00022688951717748495,0.00845965238650057,-0.01784776902887139,0.040575354229282955,7,3,0,0.4,24,all,Inter-car distance,-1,7
10,-0.0035613403438816372,-0.008241154556088193,0.018221996051191222,-0.012659827303485065,-0.005195011267590984,0.007464816035894081,-0.023926812104152005,0.03621488247262024,8,2,0,0.4,24,assigned,Inter-car distance,-1,8
10,0.008911194862060413,0.007489495780977337,0.021637670881699274,-0.00873887482343365,0.029291495472485,0.03803037029591865,-0.020111548556430447,0.037331234196841756,4,6,0,0.4,25,all,Driver & team references,1,6
10,0.0005071750259952511,-0.0049107928341586594,0.022213353338123208,-0.016196106190658005,0.02147887095275628,0.037674977143414286,-0.03190241613886934,0.03171291286091511,5,5,0,0.4,25,assigned,Driver & team references,0,5
10,0.014338679172295477,0.011872597338040743,0.019289481174988358,-0.0014654494420805399,0.029241296556444057,0.030706745998524597,-0.00904977375565611,0.04652694610778443,3,7,0,0.4,26,all,Defending & attacking,1,7
10,0.011799590482357203,0.01004878160839405,0.020062220222217913,-0.00625116213871518,0.028345984076999786,0.03459714621571497,-0.011914893617021277,0.04235656526761648,4,6,0,0.4,26,assigned,Defending & attacking,1,6
10,0.03799939667981227,0.042526392679578945,0.042359536511987275,0.0236893283169266,0.05652685233228247,0.03283752401535587,-0.03784431137724551,0.10642544965540426,2,8,0,0.4,27,all,Overtake battles,1,8
10,0.013538728979023234,0.014801191178901649,0.048958483640331354,-0.010384633891457377,0.040418640127149325,0.0508032740186067,-0.06819834852179865,0.08790987417095393,4,6,0,0.4,27,assigned,Overtake battles,1,6
10,0.01133338879476924,0.010961489197237356,0.017064859172115334,-0.0005585556067845762,0.02342549662016528,0.023984052226949857,-0.011976047904191617,0.041666666666666664,3,7,0,0.4,28,all,Corner battles,1,7
10,0.010053691431542958,0.009986446685954074,0.019269669999506377,-0.00158057310253604,0.019906950687172242,0.021487523789708283,-0.016771488469601678,0.04843534159261233,3,7,0,0.4,28,assigned,Corner battles,1,7
10,0.007949567638444111,-0.0037878501159378606,0.021200585362311106,-0.006304186273351359,0.022383761021264558,0.028687947294615917,-0.011904761904761904,0.049902199322551404,6,4,0,0.4,29,all,Corner specific moves,-1,6
10,0.006394146119625967,-0.00503586720791859,0.021980440964607873,-0.00839910775566232,0.022792472009406668,0.031191579765068988,-0.015488867376573089,0.04915804510627246,6,4,0,0.4,29,assigned,Corner specific moves,-1,6
10,-0.0074699527401418915,-0.0077086847169312855,0.014962956611158883,-0.016920874436033705,0.006412415956727898,0.0233332903927616,-0.03139880952380952,0.011556886227544912,6,4,0,0.4,30,all,Lap pace & timing,-1,6
