cluster_id,thematic_label,term,train_obs,train_z,train_p,train_q,train_log2fc,test_obs,test_z,test_p,test_q_subset_fdr,test_log2fc,replicated_strict,replicated_lenient,direction_ok
11,(no label),guys,10,18.051739043247,0.0,0.0,3.1328942704973453,8,16.737285783959326,0.0,0.0,2.929916036707242,True,True,True
11,(no label),incredible,3,9.725063680726464,0.0,0.0,1.8970060066766743,1,4.227752451167818,0.047,0.07491370558375635,0.9309853220848194,False,True,True
11,(no label),job,14,24.551882106902603,0.0,0.0,3.640253953094529,4,10.63904176405878,0.0,0.0,2.1405074546072207,True,True,True
11,(no label),lovely,3,9.463935636458315,0.0,0.0,1.8717065989901824,0,-0.2308145284889269,1.0,1.0,-0.0786098346963665,False,False,False
11,(no label),mate,13,28.61018203649033,0.0,0.0,3.580846392248924,1,5.032615369505989,0.032,0.05431351351351352,0.9517638143471523,False,True,True
11,(no label),nice,4,7.5539963604641365,0.0,0.0,2.0267928458865443,2,4.879971113502573,0.01,0.019146341463414634,1.3946637090945617,True,True,True
11,(no label),really,9,8.009442651005314,0.0,0.0,2.5063526660247897,5,4.9954233438347595,0.003,0.006680851063829788,1.8783214434117477,True,True,True
11,(no label),thank,17,28.586004781178776,0.0,0.0,3.888968687611256,10,21.193177545500316,0.0,0.0,3.1892017113992996,True,True,True
11,(no label),thanks,4,13.786134909975381,0.0,0.0,2.2029039917450874,2,6.683571788727087,0.004,0.008602739726027398,1.472595977648593,True,True,True
11,(no label),unbelievable,7,16.65212299701451,0.0,0.0,2.8598757760909295,2,7.335040126211753,0.003,0.006680851063829788,1.4900508536956891,True,True,True
11,(no label),weekend,11,19.71826181117944,0.0,0.0,3.22431729826094,5,11.69922977266697,0.0,0.0,2.369594528517677,True,True,True
11,(no label),yeah,13,10.00301387205958,0.0,0.0,2.624662624541414,3,2.6270218124229907,0.047,0.07491370558375635,1.2327689629761243,False,True,True
11,(no label),yes,7,9.362774779794321,0.0,0.0,2.550042516371996,3,5.897717782945281,0.005,0.010466666666666668,1.7441971633972821,True,True,True
12,(no label),career,6,7.922495912613105,0.0,0.0,2.2330111681375913,1,0.9411694825836094,0.299,0.3832081632653061,0.5363775431481067,False,False,True
12,(no label),complete,5,7.034649862610283,0.0,0.0,2.0528949484321255,1,2.293214562679771,0.139,0.19312389380530975,0.8033929559051823,False,False,True
12,(no label),completes,6,11.51726533991785,0.0,0.0,2.4819685073978306,1,5.786428831385525,0.029,0.04975956284153006,0.9587570177681186,True,True,True
12,(no label),home,15,12.649863382213205,0.0,0.0,2.8300749985576874,11,12.567725127357386,0.0,0.0,2.8783214434117474,True,True,True
12,(no label),place,34,4.385860974286003,0.0,0.0,1.0390223646717824,11,2.242231079106331,0.031,0.05290217391304348,0.8149792381166066,False,True,True
12,(no label),places,9,7.504045677163196,0.0,0.0,2.2358237236440717,7,6.446708301871044,0.0,0.0,2.038006322579745,True,True,True
