phase,config,nc,noise_pct,ari,jaccard,max_diff,rows_diff,notes
C,hdb_mcs33_ms25_eom,35,29.99,0.8308,0.9293,,,grid on PHASE-B umap_ref
C,hdb_mcs33_ms25_leaf,41,42.43,0.6611,0.8717,,,grid on PHASE-B umap_ref
C,hdb_mcs33_ms30_eom,35,34.38,0.9132,0.9492,,,grid on PHASE-B umap_ref
C,hdb_mcs33_ms30_leaf,41,45.25,0.6572,0.8846,,,grid on PHASE-B umap_ref
C,hdb_mcs35_msNone_eom,34,33.52,1.0000,1.0000,,,grid on PHASE-B umap_ref
C,hdb_mcs35_msNone_leaf,37,36.29,0.9145,0.9601,,,grid on PHASE-B umap_ref
C,hdb_mcs35_ms5_eom,37,28.59,0.6884,0.8537,,,grid on PHASE-B umap_ref
C,hdb_mcs35_ms5_leaf,49,47.42,0.4237,0.7347,,,grid on PHASE-B umap_ref
C,hdb_mcs35_ms10_eom,37,30.99,0.7219,0.8698,,,grid on PHASE-B umap_ref
C,hdb_mcs35_ms10_leaf,47,48.75,0.4456,0.7627,,,grid on PHASE-B umap_ref
C,hdb_mcs35_ms15_eom,36,30.38,0.7473,0.8552,,,grid on PHASE-B umap_ref
C,hdb_mcs35_ms15_leaf,45,48.21,0.4952,0.7881,,,grid on PHASE-B umap_ref
C,hdb_mcs35_ms20_eom,36,32.73,0.8279,0.9067,,,grid on PHASE-B umap_ref
C,hdb_mcs35_ms20_leaf,43,46.55,0.5547,0.8261,,,grid on PHASE-B umap_ref
C,hdb_mcs35_ms25_eom,35,29.99,0.8308,0.9293,,,grid on PHASE-B umap_ref
C,hdb_mcs35_ms25_leaf,41,42.43,0.6611,0.8717,,,grid on PHASE-B umap_ref
C,hdb_mcs35_ms30_eom,35,34.38,0.9132,0.9492,,,grid on PHASE-B umap_ref
C,hdb_mcs35_ms30_leaf,41,45.25,0.6572,0.8846,,,grid on PHASE-B umap_ref
C,hdb_mcs40_msNone_eom,33,34.17,0.9368,0.9620,,,grid on PHASE-B umap_ref
C,hdb_mcs40_msNone_leaf,35,36.47,0.8681,0.9117,,,grid on PHASE-B umap_ref
C,hdb_mcs40_ms5_eom,36,28.57,0.6892,0.8616,,,grid on PHASE-B umap_ref
C,hdb_mcs40_ms5_leaf,46,46.48,0.4377,0.7443,,,grid on PHASE-B umap_ref
C,hdb_mcs40_ms10_eom,36,30.86,0.7234,0.8788,,,grid on PHASE-B umap_ref
C,hdb_mcs40_ms10_leaf,43,49.05,0.4422,0.7866,,,grid on PHASE-B umap_ref
C,hdb_mcs40_ms15_eom,33,29.95,0.7543,0.8712,,,grid on PHASE-B umap_ref
C,hdb_mcs40_ms15_leaf,41,48.54,0.4925,0.7891,,,grid on PHASE-B umap_ref
C,hdb_mcs40_ms20_eom,33,32.39,0.8361,0.9232,,,grid on PHASE-B umap_ref
C,hdb_mcs40_ms20_leaf,38,43.35,0.6196,0.8438,,,grid on PHASE-B umap_ref
C,hdb_mcs40_ms25_eom,33,29.83,0.8344,0.9335,,,grid on PHASE-B umap_ref
C,hdb_mcs40_ms25_leaf,37,43.73,0.6433,0.8552,,,grid on PHASE-B umap_ref
C,hdb_mcs40_ms30_eom,32,32.51,0.8874,0.9492,,,grid on PHASE-B umap_ref
C,hdb_mcs40_ms30_leaf,35,35.73,0.7987,0.8619,,,grid on PHASE-B umap_ref
D,umap_nn10_md0.0_nc3_hdb_mcs30,35,30.18,0.6283,0.7722,,,UMAP grid
D,umap_nn10_md0.0_nc5_hdb_mcs30,35,33.70,0.7446,0.8436,,,UMAP grid
D,umap_nn10_md0.0_nc7_hdb_mcs30,34,32.76,0.6823,0.8029,,,UMAP grid
D,umap_nn10_md0.0_nc10_hdb_mcs30,36,33.75,0.7306,0.8393,,,UMAP grid
D,umap_nn10_md0.01_nc3_hdb_mcs30,36,32.37,0.6466,0.7970,,,UMAP grid
D,umap_nn10_md0.01_nc5_hdb_mcs30,36,33.08,0.7441,0.8489,,,UMAP grid
D,umap_nn10_md0.01_nc7_hdb_mcs30,34,32.65,0.7028,0.8150,,,UMAP grid
D,umap_nn10_md0.01_nc10_hdb_mcs30,36,34.56,0.7320,0.8407,,,UMAP grid
D,umap_nn10_md0.05_nc3_hdb_mcs30,35,35.19,0.6351,0.7957,,,UMAP grid
D,umap_nn10_md0.05_nc5_hdb_mcs30,34,34.44,0.7033,0.8079,,,UMAP grid
D,umap_nn10_md0.05_nc7_hdb_mcs30,34,34.75,0.7035,0.8075,,,UMAP grid
D,umap_nn10_md0.05_nc10_hdb_mcs30,34,33.63,0.7092,0.8071,,,UMAP grid
D,umap_nn10_md0.1_nc3_hdb_mcs30,5,0.20,0.0420,0.7688,,,UMAP grid
D,umap_nn10_md0.1_nc5_hdb_mcs30,33,37.95,0.6785,0.8195,,,UMAP grid
D,umap_nn10_md0.1_nc7_hdb_mcs30,33,39.36,0.6722,0.7775,,,UMAP grid
D,umap_nn10_md0.1_nc10_hdb_mcs30,34,38.13,0.6922,0.7920,,,UMAP grid
D,umap_nn12_md0.0_nc3_hdb_mcs30,34,33.83,0.6971,0.8029,,,UMAP grid
D,umap_nn12_md0.0_nc5_hdb_mcs30,35,33.22,0.7435,0.8436,,,UMAP grid
D,umap_nn12_md0.0_nc7_hdb_mcs30,35,33.65,0.7161,0.8530,,,UMAP grid
D,umap_nn12_md0.0_nc10_hdb_mcs30,35,33.12,0.7294,0.8571,,,UMAP grid
D,umap_nn12_md0.01_nc3_hdb_mcs30,37,37.35,0.6506,0.8202,,,UMAP grid
D,umap_nn12_md0.01_nc5_hdb_mcs30,35,36.12,0.7397,0.8515,,,UMAP grid
D,umap_nn12_md0.01_nc7_hdb_mcs30,35,35.06,0.7188,0.8527,,,UMAP grid
D,umap_nn12_md0.01_nc10_hdb_mcs30,35,33.28,0.7429,0.8607,,,UMAP grid
D,umap_nn12_md0.05_nc3_hdb_mcs30,35,40.09,0.6152,0.7568,,,UMAP grid
D,umap_nn12_md0.05_nc5_hdb_mcs30,35,38.05,0.7305,0.8435,,,UMAP grid
D,umap_nn12_md0.05_nc7_hdb_mcs30,35,37.09,0.7242,0.8492,,,UMAP grid
D,umap_nn12_md0.05_nc10_hdb_mcs30,35,34.07,0.7183,0.8460,,,UMAP grid
D,umap_nn12_md0.1_nc3_hdb_mcs30,33,37.53,0.6273,0.7529,,,UMAP grid
D,umap_nn12_md0.1_nc5_hdb_mcs30,34,40.47,0.6872,0.8045,,,UMAP grid
D,umap_nn12_md0.1_nc7_hdb_mcs30,33,40.51,0.6884,0.8431,,,UMAP grid
D,umap_nn12_md0.1_nc10_hdb_mcs30,33,36.55,0.6961,0.8072,,,UMAP grid
D,umap_nn15_md0.0_nc3_hdb_mcs30,35,35.61,0.7307,0.8614,,,UMAP grid
D,umap_nn15_md0.0_nc5_hdb_mcs30,35,34.38,0.9132,0.9492,,,UMAP grid
D,umap_nn15_md0.0_nc7_hdb_mcs30,35,34.21,0.8483,0.9114,,,UMAP grid
D,umap_nn15_md0.0_nc10_hdb_mcs30,35,34.10,0.8146,0.9006,,,UMAP grid
D,umap_nn15_md0.01_nc3_hdb_mcs30,33,30.23,0.6618,0.8322,,,UMAP grid
D,umap_nn15_md0.01_nc5_hdb_mcs30,35,35.31,0.8874,0.9403,,,UMAP grid
D,umap_nn15_md0.01_nc7_hdb_mcs30,35,35.49,0.8349,0.9095,,,UMAP grid
D,umap_nn15_md0.01_nc10_hdb_mcs30,35,35.18,0.8159,0.9026,,,UMAP grid
D,umap_nn15_md0.05_nc3_hdb_mcs30,34,35.78,0.7059,0.8092,,,UMAP grid
D,umap_nn15_md0.05_nc5_hdb_mcs30,34,38.22,0.8218,0.8722,,,UMAP grid
D,umap_nn15_md0.05_nc7_hdb_mcs30,35,39.54,0.7694,0.8910,,,UMAP grid
D,umap_nn15_md0.05_nc10_hdb_mcs30,35,38.64,0.7768,0.8936,,,UMAP grid
D,umap_nn15_md0.1_nc3_hdb_mcs30,4,0.00,0.0330,0.7565,,,UMAP grid
D,umap_nn15_md0.1_nc5_hdb_mcs30,3,0.00,0.0284,0.6969,,,UMAP grid
D,umap_nn15_md0.1_nc7_hdb_mcs30,33,40.34,0.7347,0.8268,,,UMAP grid
D,umap_nn15_md0.1_nc10_hdb_mcs30,33,39.15,0.7416,0.8700,,,UMAP grid
