cluster_id,term,is_bigram,in_cluster,corpus_docfreq,cluster_size,expected,p_value,q_value_fdr,significant
14,pits,0,41,108,185,2.613,1.5315971915856653e-39,3.353585210695973e-36,True
14,pits comes,1,3,4,185,0.097,5.4748524767430266e-05,0.010409033559834904,True
14,pits going,1,3,6,185,0.145,0.00026406937801469823,0.040766602357296115,True
14,pitted,0,7,27,185,0.653,2.5525832534953682e-06,0.0006914395412602216,True
14,second pit,1,4,7,185,0.169,1.096613401619537e-05,0.002505542300020318,True
14,slow,0,10,67,185,1.621,4.038354720241241e-06,0.001026195144538517,True
14,slow pit,1,3,3,185,0.073,1.3935988122618614e-05,0.002981847517259191,True
14,started pit,1,3,3,185,0.073,1.3935988122618614e-05,0.002981847517259191,True
14,starting,0,5,21,185,0.508,0.00011657115201114998,0.020311209106918884,True
14,starting pit,1,3,3,185,0.073,1.3935988122618614e-05,0.002981847517259191,True
14,stop,0,63,254,185,6.145,1.932515592611335e-48,5.077723369898135e-45,True
14,stops,0,7,28,185,0.677,3.334377037731974e-06,0.0008749255532224354,True
14,time pit,1,3,3,185,0.073,1.3935988122618614e-05,0.002981847517259191,True
15,12 laps,1,4,4,379,0.198,5.94342316912019e-06,0.0014068885806600615,True
15,axle,0,4,5,379,0.248,2.8550671418847013e-05,0.005735279829239213,True
15,better,0,15,78,379,3.866,5.050185418029398e-06,0.0012518361499604344,True
15,bring,0,7,24,379,1.189,0.00011545594852010291,0.020143613137818116,True
15,bring tires,1,3,3,379,0.149,0.00012082852847009236,0.020535535260396965,True
15,cold,0,5,7,379,0.347,5.63478193499188e-06,0.0013708798360953579,True
15,compound,0,31,35,379,1.735,4.662676931056549e-37,9.424059146069004e-34,True
15,compound tire,1,17,17,379,0.843,4.646153303966661e-23,5.758424872282302e-20,True
15,compound tires,1,6,7,379,0.347,9.572025035838637e-08,3.278924365381073e-05,True
15,compound tyre,1,4,4,379,0.198,5.94342316912019e-06,0.0014068885806600615,True
15,end,0,18,127,379,6.294,4.88752080477419e-05,0.009456596955051752,True
15,faster,0,5,12,379,0.595,0.00017273528401917117,0.028580945432371073,True
15,fired,0,6,7,379,0.347,9.572025035838637e-08,3.278924365381073e-05,True
