cluster_id,checkpoint,cumulative_mean,abs_diff_vs_full,passes_at_0.50
31,75,0.6014790958121765,0.018468974719575093,True
32,75,0.41523723319860506,0.002500342922801657,False
33,75,0.4139041180743944,0.0039926399307965155,False
0,100,0.8090130718954248,0.0,True
1,100,0.8197000000000001,0.0,True
2,100,0.7003401702786377,0.0,True
3,100,0.7252576343934704,0.0,True
4,100,0.8505413349550346,0.0,True
5,100,0.7696538939073767,0.0,True
6,100,0.6173208295180723,0.0,True
7,100,0.7744800911592707,0.0,True
8,100,0.6753648331671621,0.0,True
9,100,0.6199723577975185,0.0,True
10,100,0.809130174291939,0.0,True
11,100,0.7787589975384093,0.0,True
12,100,0.7404194439842989,0.0,True
13,100,0.5279387676675457,0.0,True
14,100,0.5432995086781156,0.0,True
15,100,0.6263956815792678,0.0,True
16,100,0.6672556758257222,0.0,True
17,100,0.6220542273194716,0.0,True
18,100,0.37224295870518176,0.0,False
19,100,0.6078655320589735,0.0,True
20,100,0.6692070676478066,0.0,True
21,100,0.5048454955253128,0.0,True
22,100,0.6445583204534505,0.0,True
23,100,0.6106830553990326,0.0,True
24,100,0.4903631579136004,0.0,False
25,100,0.5310736797964992,0.0,True
26,100,0.5540381822116451,0.0,True
27,100,0.388877336477056,0.0,False
28,100,0.6345736322420482,0.0,True
29,100,0.6885845411599213,0.0,True
30,100,0.5835710416723014,0.0,True
31,100,0.6199480705317516,0.0,True
32,100,0.4127368902758034,0.0,False
33,100,0.4099114781435979,0.0,False
