cell,cache,mcs,cluster,n_viable_runs,n_pass,pass_rate_viable,n_reconstructed,reconstruction_rate_all_runs,median_rep_strict,iqr_lo_rep_strict,iqr_hi_rep_strict,median_rep_dir,iqr_lo_rep_dir,iqr_hi_rep_dir,median_den,min_den,max_den
A30,A,30,32,44,4,0.09090909090909091,8,0.16,0.45,0.29642857142857143,0.525,0.7333333333333334,0.6499999999999999,0.875,0.0,0,10
A30,A,30,33,44,40,0.9090909090909091,43,0.86,0.6666666666666666,0.5694980694980695,0.7368421052631579,0.8095238095238095,0.75,0.872983870967742,19.0,0,37
A35,A,35,0,35,17,0.4857142857142857,35,1.0,0.4883720930232558,0.4257246376811594,0.56125,0.7297297297297297,0.6676570458404074,0.7657142857142858,33.0,25,46
A35,A,35,1,35,35,1.0,35,1.0,0.8181818181818182,0.725975975975976,0.8591269841269842,0.8648648648648649,0.8284313725490196,0.9393939393939394,34.0,27,38
A35,A,35,2,35,22,0.6285714285714286,31,0.86,0.5,0.4641025641025641,0.6291208791208791,0.6153846153846154,0.5,0.6666666666666666,12.0,0,21
A35,A,35,3,35,8,0.22857142857142856,10,0.24,0.5590277777777778,0.506578947368421,0.6666666666666666,0.6375,0.5939542483660131,0.6666666666666666,0.0,0,22
A35,A,35,4,35,6,0.17142857142857143,10,0.2,0.5227272727272727,0.43506493506493504,0.5863636363636363,0.5727272727272728,0.5316742081447964,0.6272727272727272,0.0,0,17
A35,A,35,5,35,0,0.0,6,0.12,0.13025210084033612,0.09759358288770054,0.18571428571428572,0.13025210084033612,0.09759358288770054,0.18571428571428572,0.0,0,17
A35,A,35,6,35,14,0.4,35,0.7,0.4725274725274725,0.43508717310087175,0.5451273046532046,0.7469879518072289,0.7124143835616439,0.7847426470588235,85.0,64,92
A35,A,35,7,35,0,0.0,0,0.0,,,,,,,0.0,0,0
A35,A,35,8,35,35,1.0,35,0.7,0.7142857142857143,0.6360294117647058,0.80625,0.8571428571428571,0.7639257294429709,0.8947044334975369,27.0,16,40
A35,A,35,9,35,26,0.7428571428571429,35,0.7,0.5416666666666666,0.49,0.6180555555555556,0.7058823529411765,0.64576802507837,0.7673160173160173,23.0,13,33
A35,A,35,10,35,13,0.37142857142857144,25,0.54,0.5,0.25,0.6666666666666666,0.5,0.2857142857142857,0.6666666666666666,4.0,0,9
A35,A,35,11,35,8,0.22857142857142856,24,0.48,0.44655797101449274,0.3761494252873563,0.5054347826086957,0.6,0.5293103448275862,0.6666666666666666,23.0,0,31
A35,A,35,12,35,17,0.4857142857142857,34,0.68,0.5,0.46041666666666664,0.5890151515151516,0.68,0.6666666666666666,0.7518181818181818,25.0,0,30
