cluster,term,in_cluster,corpus_docfreq,cluster_size,expected,p,is_bigram,q
1,drop,5,12,94,0.189,6.328858335593753e-07,0,0.0001217966529232
1,checker wrecker,3,3,94,0.047,3.787467323379775e-06,1,0.0006049373570058
1,come green,3,3,94,0.047,3.787467323379775e-06,1,0.0006049373570058
1,drop green,3,3,94,0.047,3.787467323379775e-06,1,0.0006049373570058
1,going flag,3,3,94,0.047,3.787467323379775e-06,1,0.0006049373570058
1,wrecker,3,3,94,0.047,3.787467323379775e-06,0,0.0006049373570058
1,checkered flag,4,8,94,0.126,3.853535475913936e-06,1,0.0006108387594439
1,going green,3,4,94,0.063,1.4976499310406644e-05,1,0.0020759275365724
1,got,17,344,94,5.419,2.054751934105748e-05,0,0.0027653221330939
1,lap number,5,25,94,0.394,3.609716232332992e-05,1,0.0047522895920651
1,yellow,3,6,94,0.095,7.318006674741374e-05,0,0.0088391969297787
1,racing,11,177,94,2.788,9.308420958232385e-05,0,0.0109021634991722
2,steven,37,52,38,0.331,5.181558972127037e-83,0,2.717295884299621e-79
2,good steven,3,3,38,0.019,2.3836258497233586e-07,1,4.918084417150522e-05
2,hass,3,3,38,0.019,2.3836258497233586e-07,0,4.918084417150522e-05
2,steven hass,3,3,38,0.019,2.3836258497233586e-07,1,4.918084417150522e-05
2,mistake,3,9,38,0.057,1.9499687930067367e-05,0,0.0026503571521363
2,really good,3,17,38,0.108,0.0001523895657792,1,0.0168297582450495
3,caution,49,57,60,0.573,4.02326479068732e-102,0,3.1648006659744124e-98
3,cautions,7,7,60,0.07,7.252492945811996e-15,0,4.563993810799489e-12
3,changes,5,5,60,0.05,8.678445875515572e-11,0,2.9362075212161023e-08
3,lead changes,5,5,60,0.05,8.678445875515572e-11,1,2.9362075212161023e-08
3,caution came,4,4,60,0.04,9.240995134946313e-09,1,2.363966763586063e-06
3,brought caution,3,3,60,0.03,9.668999120143823e-07,1,0.000177915238196
3,caution comes,3,4,60,0.04,3.839876662652691e-06,1,0.0006102107029816
3,caution night,3,4,60,0.04,3.839876662652691e-06,1,0.0006102107029816
3,coming lap,2,3,60,0.03,0.0002963881644086,1,0.0302787454322054
3,going action,2,3,60,0.03,0.0002963881644086,1,0.0302787454322054
3,kyle bush,2,3,60,0.03,0.0002963881644086,1,0.0302787454322054
3,came,5,64,60,0.644,0.000420157166359,0,0.0413132663734
3,brought,3,16,60,0.161,0.0004932196800436,0,0.0474591964298909
4,lap,73,205,74,2.542,6.4145862269534245e-112,0,8.073398225243581e-108
4,lead lap,8,12,74,0.149,1.807523287123168e-13,1,9.323560693332863e-11
4,lap moment,7,11,74,0.136,1.0719639468173114e-11,1,4.164116739087248e-09
4,going lap,5,5,74,0.062,2.5597130702167043e-10,1,8.218507321874347e-08
4,trying lap,3,3,74,0.037,1.8316282845242648e-06,1,0.0003106856278843
4,lead,9,105,74,1.302,4.893227950891033e-06,0,0.0007510508169501
4,got lap,3,4,74,0.05,7.261097842221191e-06,1,0.001077690771724
4,moment,7,71,74,0.881,2.388035730894452e-05,0,0.0031838789946014
4,moment time,5,36,74,0.446,7.150360012048036e-05,1,0.0086533106838112
4,final lap,2,3,74,0.037,0.0004515726899804,1,0.0441265052491736
5,laps,188,217,321,11.674,6.001444025650622e-233,0,3.7767087253419375e-228
5,lap,93,205,321,11.028,9.649602439735734e-67,0,3.3736082307364987e-63
5,stage,39,60,321,3.228,9.474960419945226e-36,0,1.9234169652488807e-32
5,end stage,25,29,321,1.56,1.4600594961828499e-28,1,2.0882169112451537e-25
5,100,16,18,321,0.968,4.7582105478540895e-19,0,4.339625938789243e-16
5,number,38,138,321,7.424,7.920847528354307e-18,0,6.6461191327911526e-15
5,pitted,15,17,321,0.915,8.227515703636859e-18,0,6.812599516182468e-15
5,125,13,13,321,0.699,2.503175979965951e-17,0,1.969060805240716e-14
5,stage number,17,25,321,1.345,1.281236577670811e-16,1,9.485672686214605e-14
5,end,33,124,321,6.671,4.021570672606556e-15,0,2.6362233586159437e-12
5,laps end,12,13,321,0.699,5.970925305998394e-15,1,3.795457873802818e-12
5,80,18,42,321,2.259,9.701486609133556e-13,0,4.2665143883646286e-10
5,10 laps,11,14,321,0.753,2.913588508208964e-12,1,1.1983799007947062e-09
5,lap number,14,25,321,1.345,3.3553988077213293e-12,1,1.371137967337034e-09
5,till end,11,15,321,0.807,1.0404979243023599e-11,1,4.066989712816616e-09
5,cody,9,10,321,0.538,3.2303864172631827e-11,0,1.1776167140567115e-08
5,till,12,20,321,1.076,4.1043222464543094e-11,0,1.4675284032350553e-08
5,laps right,8,8,321,0.43,6.454310111421979e-11,1,2.256498529509917e-08
5,pitted lap,8,8,321,0.43,6.454310111421979e-11,1,2.256498529509917e-08
5,16,12,21,321,1.13,9.118603356766435e-11,0,3.0523069640495306e-08
5,launch,9,11,321,0.592,1.693005355504039e-10,0,5.54900140738902e-08
5,seven,12,26,321,1.399,2.345105086331993e-09,0,6.472695749248787e-07
5,10,17,56,321,3.013,2.506647144468421e-09,0,6.888353921458417e-07
5,16 laps,8,10,321,0.538,2.6396175108096542e-09,1,7.190958006720845e-07
5,60,8,10,321,0.538,2.6396175108096542e-09,0,7.190958006720845e-07
5,stripe,7,8,321,0.43,9.348883200245051e-09,0,2.381883480936927e-06
5,great launch,6,6,321,0.323,2.3183286800338805e-08,1,5.505374484321966e-06
